title,desc,location,date,imageurl,cluster,tags,rate
Leh City,,Ladakh,,images/photographs/stories/ladakhdiaries/27.jpg,ladakh,,
War Memorial at Leh,,Ladakh,,images/photographs/stories/ladakhdiaries/28.jpg,ladakh,,
Sindu Darshan,"Though the river Indus has dried up considerably in this region, during appropriate monsoon months it comes back to its original force.",Ladakh,,images/photographs/stories/ladakhdiaries/29.jpg,ladakh,,
Shey Palace,,Ladakh,,images/photographs/stories/ladakhdiaries/30.jpg,ladakh,,
Shey Palace,,Ladakh,,images/photographs/stories/ladakhdiaries/31.jpg,ladakh,,
Shey Palace,,Ladakh,,images/photographs/stories/ladakhdiaries/32.jpg,ladakh,,
Thikshey Gompa,,Ladakh,,images/photographs/stories/ladakhdiaries/33.jpg,ladakh,,
Thikshey Gompa,,Ladakh,,images/photographs/stories/ladakhdiaries/34.jpg,ladakh,,
Thikshey Gompa,,Ladakh,,images/photographs/stories/ladakhdiaries/35.jpg,ladakh,,
Thikshey Gompa,,Ladakh,,images/photographs/stories/ladakhdiaries/36.jpg,ladakh,,
Enroute to Changla La,"The temperature went down drastically, while we faced cold clouds and snowfall soon.",Ladakh,,images/photographs/stories/ladakhdiaries/37.jpg,ladakh,bw,
Mountain Clouds,,Ladakh,,images/photographs/stories/ladakhdiaries/38.jpg,ladakh,bw,
Prelude to Snowfall,,Ladakh,,images/photographs/stories/ladakhdiaries/39.jpg,ladakh,bw,
Chang La (5360m),,Ladakh,,images/photographs/stories/ladakhdiaries/40.jpg,ladakh,,
Enroute to Pangong Tso,,Ladakh,,images/photographs/stories/ladakhdiaries/41.jpg,ladakh,,
The first sight of the Great Pangong Tso,,Ladakh,,images/photographs/stories/ladakhdiaries/42.jpg,ladakh,,
Cloudy Sunset Pangong Tso,"We got a very cloudy Pangong Tso, which was very different but amazing nonetheless",Ladakh,,images/photographs/stories/ladakhdiaries/43.jpg,ladakh,,
Pangong Tso (4350m),"The waters of the great lake was so clear, you could literally see the bottom.",Ladakh,,images/photographs/stories/ladakhdiaries/44.jpg,ladakh,,
Waves of Wind,"Though a calm waves, due to extreme windy weather, there were waves. It was an amazing experience.",Ladakh,,images/photographs/stories/ladakhdiaries/45.jpg,ladakh,,
Pangong Tso,,Ladakh,,images/photographs/stories/ladakhdiaries/46.jpg,ladakh,,
Pangong Tso,,Ladakh,,images/photographs/stories/ladakhdiaries/47.jpg,ladakh,,
Pangong Tso,The cliched waves-on-my-shoes photograph,Ladakh,,images/photographs/stories/ladakhdiaries/48.jpg,ladakh,,
Kailash,The caretaker of our tents and one of the most humble person I've ever seen in my life.,Ladakh,,images/photographs/stories/ladakhdiaries/49.jpg,ladakh,,
Enroute to Nubra,,Ladakh,,images/photographs/stories/ladakhdiaries/50.jpg,ladakh,,
Clouds  ,Clouds never stopped chasing us from places to places.,Ladakh,,images/photographs/stories/ladakhdiaries/51.jpg,ladakh,,
Roads of Shyok,A terribly dangerous road and equally thrilling to travel,Ladakh,,images/photographs/stories/ladakhdiaries/52.jpg,ladakh,,
Soomor,A village near Nubra,Ladakh,,images/photographs/stories/ladakhdiaries/53.jpg,ladakh,,
The great wall of the north,Perhaps there are whitewalkers on the other side..or perhaps we are the whitewalkers,Ladakh,,images/photographs/stories/ladakhdiaries/54.jpg,ladakh,,
Negi Brothers,The Negi brothers who was our trainer and lifeguard while we rafted in the Shyok River.,Ladakh,,images/photographs/stories/ladakhdiaries/55.jpg,ladakh,,
Diskit Village,The very obedient dogs of Diskit,Ladakh,,images/photographs/stories/ladakhdiaries/56.jpg,ladakh,,
Diskit Gompa,,Ladakh,,images/photographs/stories/ladakhdiaries/57.jpg,ladakh,,
Maitreya Buddha,A 32 metre statue of Maitreya Buddha near Diskit Monastery facing down the Shyok River towards Pakistan.,Ladakh,,images/photographs/stories/ladakhdiaries/58.jpg,ladakh,,
Little Monks,The younglings of the Diskit Gompa.,Ladakh,,images/photographs/stories/ladakhdiaries/59.jpg,ladakh,,
Little Monks,,Ladakh,,images/photographs/stories/ladakhdiaries/60.jpg,ladakh,bw,
Bactrian Camels of Nubra,Oh the Swag!,Ladakh,,images/photographs/stories/ladakhdiaries/61.jpg,ladakh,,
Soomor,,Ladakh,,images/photographs/stories/ladakhdiaries/62.jpg,ladakh,bw,
